,Model,K-Shot,IID Accuracy,Compositional Accuracy,Overall Accuracy,Number IID,Number Compositional,Guided Decoding,Dataset
77,EleutherAI/gpt-neo-2.7B,10,38.09523809523810,6.75675675675675,26.5,126,74,TRUE,German
78,EleutherAI/gpt-neo-2.7B,5,38.09523809523810,4.05405405405405,25.5,126,74,TRUE,German
79,t5-base,1,60.68376068376070,0.0,48.63013698630140,117,29,FALSE,Compas
80,EleutherAI/gpt-neo-125M,30,27.35042735042740,0.0,21.91780821917810,117,29,FALSE,Compas
81,EleutherAI/gpt-neo-125M,20,27.35042735042740,0.0,21.91780821917810,117,29,FALSE,Compas
82,EleutherAI/gpt-neo-125M,10,27.35042735042740,0.0,21.91780821917810,117,29,FALSE,Compas
83,t5-small,1,61.111111111111100,32.43243243243240,50.5,126,74,TRUE,German
84,t5-3b,1,80.95238095238100,25.581395348837200,68.42105263157900,147,43,FALSE,Diabetes
85,EleutherAI/gpt-neo-1.3B,30,27.35042735042740,0.0,21.91780821917810,117,29,FALSE,Compas
86,EleutherAI/gpt-neo-1.3B,20,27.35042735042740,0.0,21.91780821917810,117,29,FALSE,Compas
87,EleutherAI/gpt-neo-1.3B,10,27.35042735042740,0.0,21.91780821917810,117,29,FALSE,Compas
88,nearest-neighbor,1,10.8843537414966,0.0,8.42105263157895,147,43,FALSE,Diabetes
89,t5-base,1,68.25396825396830,48.64864864864870,61.0,126,74,TRUE,German
